Ciência da Computação,2017/1,20171904**664,2023/2,COMPUTAÇÃO GRÁFICA,Quarta-feira,15:25:00,17:25:00,7.4,88.24,1,4
Ciência da Computação,2017/1,20171904**389,2023/2,COMPUTAÇÃO GRÁFICA,Quarta-feira,15:25:00,17:25:00,7.8,61.76,1,4
Ciência da Computação,2017/1,20171904**532,2023/2,COMPUTAÇÃO GRÁFICA,Quarta-feira,15:25:00,17:25:00,1.2,73.53,1,4
Ciência da Computação,2017/1,20171904**346,2023/2,COMPUTAÇÃO GRÁFICA,Sexta-feira,15:25:00,17:25:00,8.2,88.24,2,8
Ciência da Computação,2017/1,20171904**257,2023/2,COMPUTAÇÃO GRÁFICA,Sexta-feira,15:25:00,17:25:00,1.3,55.88,2,8
Ciência da Computação,2017/1,20171904**559,2023/2,COMPUTAÇÃO GRÁFICA,Sexta-feira,15:25:00,17:25:00,6.4,79.41,2,8
Ciência da Computação,2017/1,20171904**664,2023/2,COMPUTAÇÃO GRÁFICA,Sexta-feira,15:25:00,17:25:00,7.4,88.24,2,8
Ciência da Computação,2017/1,20171904**389,2023/2,COMPUTAÇÃO GRÁFICA,Sexta-feira,15:25:00,17:25:00,7.8,61.76,2,8
Ciência da Computação,2017/1,20171904**532,2023/2,COMPUTAÇÃO GRÁFICA,Sexta-feira,15:25:00,17:25:00,1.2,73.53,2,8
Ciência da Computação,2017/1,20171904**346,2023/2,CONSTRUÇÃO DE SOFTWARE,Quarta-feira,20:40:00,22:40:00,6.1,90.2,1,6
Ciência da Computação,2017/1,20171904**516,2023/2,CONSTRUÇÃO DE SOFTWARE,Quarta-feira,20:40:00,22:40:00,3.4,74.51,1,6
Ciência da Computação,2017/1,20171904**389,2023/2,CONSTRUÇÃO DE SOFTWARE,Quarta-feira,20:40:00,22:40:00,6.4,92.16,1,6
Ciência da Computação,2017/1,20171904**532,2023/2,CONSTRUÇÃO DE SOFTWARE,Quarta-feira,20:40:00,22:40:00,3.4,70.59,1,6
Ciência da Computação,2017/1,20171904**346,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,20:40:00,22:40:00,6.1,90.2,2,12
Ciência da Computação,2017/1,20171904**346,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,18:30:00,20:30:00,6.1,90.2,3,17
Ciência da Computação,2017/1,20171904**516,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,20:40:00,22:40:00,3.4,74.51,2,12
Ciência da Computação,2017/1,20171904**516,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,18:30:00,20:30:00,3.4,74.51,3,17
Ciência da Computação,2017/1,20171904**389,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,20:40:00,22:40:00,6.4,92.16,2,12
Ciência da Computação,2017/1,20171904**389,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,18:30:00,20:30:00,6.4,92.16,3,17
Ciência da Computação,2017/1,20171904**532,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,20:40:00,22:40:00,3.4,70.59,2,12
Ciência da Computação,2017/1,20171904**532,2023/2,CONSTRUÇÃO DE SOFTWARE,Sexta-feira,18:30:00,20:30:00,3.4,70.59,3,17
Ciência da Computação,2017/1,20171904**346,2023/2,EDUCAÇÃO DAS RELAÇÕES ÉTNICO-RACIAIS,Terça-feira,09:25:00,11:25:00,0.0,11.76,1,2
Ciência da Computação,2017/1,20171904**257,2023/2,ENGENHARIA DE SOFTWARE,Terça-feira,18:30:00,20:30:00,0.0,0.0,1,5
Ciência da Computação,2017/1,20171904**257,2023/2,ENGENHARIA DE SOFTWARE,Sexta-feira,18:30:00,20:30:00,0.0,0.0,2,10
Ciência da Computação,2017/1,20171904**435,2023/2,ESTRUTURAS DE DADOS,Terça-feira,18:30:00,20:30:00,0.0,55.88,1,5
Ciência da Computação,2017/1,20171904**559,2023/2,INTELIGÊNCIA ARTIFICIAL,Quarta-feira,18:30:00,20:30:00,4.8,76.47,1,5
Ciência da Computação,2017/1,20171904**559,2023/2,INTELIGÊNCIA ARTIFICIAL,Sexta-feira,18:30:00,20:30:00,4.8,76.47,2,10
Ciência da Computação,2017/1,20171904**729,2023/2,INTRODUÇÃO À CRIPTOGRAFIA COMPUTACIONAL,Terça-feira,07:15:00,09:15:00,3.7,79.41,1,1
Ciência da Computação,2017/1,20171904**729,2023/2,INTRODUÇÃO À CRIPTOGRAFIA COMPUTACIONAL,Quinta-feira,07:15:00,09:15:00,3.7,79.41,2,2
Ciência da Computação,2017/1,20171904**435,2023/2,LINGUAGENS FORMAIS E AUTÔMATOS,Terça-feira,15:25:00,17:25:00,0.0,47.06,1,4
Ciência da Computação,2017/1,20171904**435,2023/2,LINGUAGENS FORMAIS E AUTÔMATOS,Quinta-feira,15:25:00,17:25:00,0.0,47.06,2,8
Ciência da Computação,2017/1,20171904**257,2023/2,MELHORIA DE PROCESSOS DE SOFTWARE,Segunda-feira,20:40:00,22:40:00,0.0,11.76,1,6
Ciência da Computação,2017/1,20171904**559,2023/2,PROGRAMAÇÃO PARA WEB,Segunda-feira,20:40:00,22:40:00,0.2,35.29,1,6
Ciência da Computação,2017/1,20171904**559,2023/2,PROJETO E ANÁLISE DE ALGORITMOS I,Segunda-feira,09:25:00,11:25:00,0.0,67.65,1,2
Ciência da Computação,2017/1,20171904**516,2023/2,PROJETO E ANÁLISE DE ALGORITMOS I,Segunda-feira,09:25:00,11:25:00,0.5,47.06,1,2
Ciência da Computação,2017/1,20171904**532,2023/2,PROJETO E ANÁLISE DE ALGORITMOS I,Segunda-feira,09:25:00,11:25:00,0.5,47.06,1,2
Ciência da Computação,2017/1,20171904**559,2023/2,PROJETO E ANÁLISE DE ALGORITMOS I,Sexta-feira,09:25:00,11:25:00,0.0,67.65,2,4
Ciência da Computação,2017/1,20171904**516,2023/2,PROJETO E ANÁLISE DE ALGORITMOS I,Sexta-feira,09:25:00,11:25:00,0.5,47.06,2,4
Ciência da Computação,2017/1,20171904**532,2023/2,PROJETO E ANÁLISE DE ALGORITMOS I,Sexta-feira,09:25:00,11:25:00,0.5,47.06,2,4
Ciência da Computação,2017/1,20171904**516,2023/2,SEQUÊNCIAS E SÉRIES,Sexta-feira,07:15:00,09:15:00,0.0,64.71,1,1
